dealership_id,name,location,contact_number,email,manager_id
D001,"Nguyen, Powell and Rodriguez Toyota",West Curtisberg,+1-446-210-7337x199,brad91@example.net,S0276
D002,Gibbs-Ortiz Toyota,North Danielleport,+1-802-813-2555x4099,grossanthony@example.com,S0812
D003,"Luna, Smith and Andrade Toyota",Jesusfurt,860.382.0125x1463,tony46@example.com,S0525
D004,Buck LLC Toyota,Jessicastad,001-575-706-1860x6168,jramos@example.com,S0444
D005,Lester and Sons Toyota,Stevenview,839.891.1356x8460,estradawayne@example.net,S0377
D006,Lamb-Klein Toyota,Kevinhaven,795.883.7590x08468,wowens@example.net,S0979
D007,Rodriguez-Price Toyota,Danielmouth,226-885-8609,wolfkyle@example.net,S0170
D008,Arnold Group Toyota,Briggsview,+1-413-877-3204,lopezvictoria@example.org,S0613
D009,"Vega, Shannon and Jones Toyota",Jasonshire,831-619-3186x6554,sarah93@example.com,S0924
D010,"Macdonald, Nguyen and Williams Toyota",North Julie,+1-414-582-4679x3295,anthonyrichardson@example.com,S0436
D011,Norris-Parker Toyota,Blanchardbury,001-646-930-9556x421,garcialinda@example.com,S0732
D012,Walsh-Mcintyre Toyota,Karenborough,+1-854-540-8114x841,tinataylor@example.com,S0952
D013,Brown-Hall Toyota,Samuelmouth,+1-433-788-0473,curtiscole@example.net,S0505
D014,Williams Group Toyota,New Bryan,502-305-4634,stephaniegibson@example.net,S0620
D015,Lopez and Sons Toyota,Nelsonton,411-416-5835x0118,david44@example.net,S0786
D016,Brown Inc Toyota,West Virginiaside,(216)688-9473x71359,brenda58@example.org,S0990
D017,"Olson, Mayer and Brown Toyota",Vincentville,474.662.4087,benjamin42@example.org,S0908
D018,Armstrong-Lopez Toyota,North Gregoryport,+1-372-680-0450x199,smartin@example.org,S0190
D019,Stafford-Davis Toyota,East Karenstad,+1-798-242-2427x9671,jacobsonjessica@example.com,S0041
D020,Thompson-Aguirre Toyota,Blackport,+1-410-797-9176x0743,michaelrosales@example.net,S0106
D021,Martin-Brock Toyota,South Nancyton,(403)827-1322,haydencruz@example.net,S0392
D022,Acevedo Ltd Toyota,South Danieltown,+1-943-753-4332x40935,sydneyanderson@example.com,S0128
D023,Weeks-Zimmerman Toyota,East Tinaland,670.344.5213x5360,wallacelori@example.com,S0480
D024,"Williams, Underwood and Jones Toyota",Peggymouth,809.423.2416x4618,joshua97@example.org,S0359
D025,Jackson-Bailey Toyota,West Taylorview,706-701-4461,sararichmond@example.net,S0675
D026,Moore-Ford Toyota,Port Michaelbury,411-384-0647,esandoval@example.com,S0138
D027,Blankenship LLC Toyota,Davidland,936.821.0708x214,nrose@example.net,S0410
D028,Gilbert Inc Toyota,Port Beverlyborough,2155156886,hernandezsamuel@example.com,S0880
D029,Smith-Riddle Toyota,Martinside,+1-324-973-8560x560,ellisdarren@example.net,S0669
D030,Hall Ltd Toyota,Justinport,+1-753-592-3419x29009,michaelwilliamson@example.com,S0898
D031,Oliver-Thompson Toyota,East Thomas,(846)282-4145,hardingjose@example.org,S0256
D032,Weber PLC Toyota,Toddland,+1-488-528-0284x67619,asweeney@example.org,S0129
D033,"Nguyen, Melendez and Neal Toyota",East Dennischester,341-522-2472,gbaker@example.net,S0464
D034,Murphy and Sons Toyota,New Joseph,5959146781,bonillajames@example.com,S0686
D035,Holmes-Coffey Toyota,Floresshire,(519)938-4239,vturner@example.net,S0578
D036,Turner-Williams Toyota,South Danielfort,6147306772,timothymorrow@example.com,S0562
D037,Peck-Gonzalez Toyota,Port Margaret,928.917.4233,brianwong@example.org,S0701
D038,"Clay, Sheppard and Thompson Toyota",Castilloborough,+1-735-287-2049x230,norman06@example.org,S0041
D039,Garcia-Holt Toyota,West Kristen,5233273935,richard60@example.com,S0326
D040,Fields-Craig Toyota,Port Betty,559-291-8122x99439,todd03@example.org,S0446
D041,Kelley Ltd Toyota,Port Marcus,801.911.8466,courtneyroberson@example.com,S0870
D042,Smith-Jacobs Toyota,Terrimouth,+1-861-842-3638,tara27@example.net,S0331
D043,"Jones, Prince and Smith Toyota",Port Julianshire,322-718-3160,reevesdonald@example.net,S0260
D044,Dominguez-Brandt Toyota,North Sarah,674-575-9672,villanuevajanice@example.org,S0980
D045,Brown LLC Toyota,Garzafurt,469.288.5265,daniellevelez@example.com,S0508
D046,Downs LLC Toyota,Wallacemouth,(519)403-7746x546,alicia12@example.org,S0199
D047,"Hardin, Mosley and Owens Toyota",Adkinsmouth,943.989.7126,gtucker@example.com,S0981
D048,Mccall-Shaw Toyota,Port Melinda,+1-730-273-3939x23724,donalddixon@example.net,S0633
D049,Chung LLC Toyota,East Nathan,(721)500-9527x741,crichards@example.net,S0384
D050,Smith-Gates Toyota,Hamiltonton,(882)428-2161x71753,harriseugene@example.net,S0377
