supplier_id,part_id,supplier_name,location,delivery_times,contact_info
SP0001,P00423,"Peters, Mitchell and Peterson",East Judyberg,11 days,526.811.0939
SP0002,P00860,Hall-Miller,Port Nichole,4 days,317.828.6163
SP0003,P00389,Nelson-Cruz,Lake Bryan,3 days,(793)462-7997x20265
SP0004,P00029,Payne Inc,East Dana,14 days,001-731-714-4742x6222
SP0005,P00875,Peters-Reeves,Port Harold,9 days,818.890.0932
SP0006,P00714,Powell-Dixon,Mcbrideton,10 days,4477327959
SP0007,P00810,Hicks-Simon,Jamesmouth,6 days,434.950.5079
SP0008,P00902,"Flores, Chavez and Stafford",Vanessamouth,12 days,001-266-378-5098x8124
SP0009,P00951,Maddox-Mitchell,West Karifort,8 days,7112053287
SP0010,P00856,"Martinez, Torres and Ayers",East Carol,12 days,810.227.3571x239
SP0011,P00978,Jones-Browning,Mariahmouth,7 days,+1-967-712-9940x0938
SP0012,P00769,Pennington-Hanson,Newmanmouth,6 days,001-548-449-6670x265
SP0013,P00028,Simmons-Day,Port Karen,5 days,(240)785-7773x51382
SP0014,P00115,Martinez and Sons,New Bobbyshire,13 days,(916)518-2725
SP0015,P00198,"Robertson, Taylor and Bates",New Matthewmouth,14 days,001-904-919-2214x1804
SP0016,P00676,"Martinez, Rose and Rasmussen",Dunlapville,7 days,672-987-1130
SP0017,P00903,"Sanders, Collier and Franklin",New Joshuaton,6 days,359.373.3744
SP0018,P00020,Baker Group,Lake Matthew,8 days,(614)311-3638x15809
SP0019,P00503,Bradshaw-Watkins,North Monica,2 days,389-895-7974
SP0020,P00755,Rocha Group,West Samanthaberg,2 days,(226)420-0235x828
SP0021,P00900,Wright-Graham,Brandiland,13 days,451.882.6059
SP0022,P00269,"Martin, Riley and Paul",Suzannefurt,9 days,(944)644-3396x419
SP0023,P00123,Bishop-Lopez,Robertston,4 days,001-608-889-2098x38055
SP0024,P00361,Trujillo-Herring,Jonesland,8 days,+1-359-860-1013x65764
SP0025,P00078,"Whitney, Gallagher and Burke",Jasonchester,2 days,989-413-0485x87770
SP0026,P00360,"Palmer, Foster and Middleton",Davenportberg,12 days,4718921825
SP0027,P00520,"Young, Gonzalez and Parsons",Jacobport,5 days,674.827.2177x3852
SP0028,P00143,Li-Cain,South Brian,12 days,673.583.0526
SP0029,P00215,Scott PLC,South Erinchester,11 days,(722)372-9597x36162
SP0030,P00560,"Mcclain, Ballard and Smith",North Stacyberg,7 days,001-981-264-8466x0153
SP0031,P00803,Adkins-Jones,West Roberttown,3 days,(609)515-8444
SP0032,P00037,Spencer Inc,Stephensonborough,11 days,001-834-540-1399x801
SP0033,P00664,Brown Inc,New Tammyland,6 days,424.355.6116x400
SP0034,P00939,"Garcia, Johnson and Warren",Smithhaven,9 days,576-307-5088x2130
SP0035,P00217,Johnson-Watkins,East Andrew,13 days,001-847-503-7865x20263
SP0036,P00687,"Owens, Hicks and Chambers",Port Glennfort,5 days,001-319-762-3388
SP0037,P00327,James-Peterson,Joanshire,12 days,(377)651-4408x6890
SP0038,P00841,Allen-Owens,Rossfurt,14 days,(253)885-3572
SP0039,P00398,Hernandez Group,Hallfort,4 days,221-688-9783x50338
SP0040,P00566,Pugh Ltd,Williamsshire,12 days,001-444-492-9151x0925
SP0041,P00634,Taylor PLC,South Heatherville,2 days,+1-809-452-5325
SP0042,P00564,"Patterson, Bailey and Herman",Jonesfort,9 days,(469)232-2141
SP0043,P00956,"Ellis, Perez and Turner",New Kathleen,10 days,(393)359-6089x35040
SP0044,P00402,"Wilson, Griffin and Smith",Prestonstad,13 days,706.406.1832x850
SP0045,P00384,"Cervantes, Dunn and Pope",East Taylor,3 days,+1-515-656-0361
SP0046,P00515,Robinson LLC,Moorefurt,5 days,551-969-8162x78976
SP0047,P00088,"Delgado, Watson and Hill",Huangland,4 days,358-674-4792x199
SP0048,P00460,Carter Inc,Ramirezmouth,13 days,001-448-343-7101
SP0049,P00631,"Carey, Andrews and Gonzalez",Josephton,12 days,001-274-221-4961x510
SP0050,P00078,"Vasquez, Norman and Conner",Trevorburgh,3 days,(999)809-4217x179
SP0051,P00407,Phillips-Adams,Jodishire,8 days,454-621-5712x5842
SP0052,P00335,"Fisher, Moran and Peterson",South Laura,10 days,627-979-4369x02271
SP0053,P00436,"Blankenship, Mcguire and Mayo",Moorechester,13 days,+1-289-354-7125x723
SP0054,P00589,Reed Inc,Petersside,8 days,(275)438-9556x14742
